sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,disp_final
miura_00008,miura,1,2,bending,0.9,3197.13297805199,3202.282586319337,0.0016106956772516542,0.0005257664360275671,0.0093683175020733
miura_00008,miura,1,3,axial,0.3,62164.6987230109,62426.19059154915,0.004206436674026009,0.0013476630821820286,0.0004805675264776
miura_00008,miura,1,4,axial,0.6,100070.294457203,100450.35770193495,0.0037979626900617614,0.0012171940839946793,0.0002986549842761
miura_00008,miura,1,5,axial,0.9,450372.345177969,451553.124913042,0.0026217856129829306,0.0008401462964354119,6.64373654944305e-05
miura_00009,miura,1,0,bending,0.3,164919.225992508,164829.2984978505,0.0005452820562083713,0.00016978958691637376,0.0001820064774491
miura_00009,miura,1,1,bending,0.6,50627.6409180823,50619.5545949943,0.00015972150669808815,4.95948941571054e-05,0.0005926563408159
miura_00009,miura,1,2,bending,0.9,24354.4658821746,24356.460966578827,8.191862691126747e-05,2.5777428736194246e-05,0.0012317060364872
miura_00009,miura,1,3,axial,0.3,9943.96183939382,10080.427674927832,0.013723487452796924,0.004367037694891822,0.0029760642075352
miura_00009,miura,1,4,axial,0.6,20389.0455757056,20810.200879163556,0.020655959686498505,0.006557206239839617,0.0014416006925737
miura_00009,miura,1,5,axial,0.9,282417.4329335,284719.59360824013,0.008151623824447961,0.0026045916255743834,0.0001053668264267
miura_00010,miura,1,0,bending,0.3,34530.6356535428,34564.7475861152,0.000987874446177464,0.00031976321557147894,0.0008679363251607
miura_00010,miura,1,1,bending,0.6,12221.9097657827,12239.970948853554,0.0014777709389917448,0.0004693518454279733,0.0024509862094738
miura_00010,miura,1,2,bending,0.9,6388.95299554111,6407.107160267578,0.0028414929236665826,0.0009004689870645803,0.0046823003345471
miura_00010,miura,1,3,axial,0.3,31008.8087043053,31222.655413122997,0.006896321327817015,0.002207868269634341,0.0009608407613976
miura_00010,miura,1,4,axial,0.6,46852.6117881781,47090.31637381996,0.005073454319185536,0.001623481244989925,0.0006370736556928
miura_00010,miura,1,5,axial,0.9,152231.673893248,152892.7420757035,0.0043425140481546136,0.0013893940454765051,0.0001962159850933
miura_00011,miura,1,0,bending,0.3,289593.133991569,289589.56940271606,1.2308954994178153e-05,4.675329589569881e-06,0.0001035948914247
miura_00011,miura,1,1,bending,0.6,133938.67376722,133915.3560179676,0.0001740927291315624,5.485275302183785e-05,0.000224022105396
miura_00011,miura,1,2,bending,0.9,37636.3912613448,37625.04131687272,0.00030156835157937374,9.681131497129688e-05,0.0007973413171123
miura_00011,miura,1,3,axial,0.3,72794.670172513,72983.00033685175,0.002587142216489716,0.0008289759382405211,0.000411054627263
miura_00011,miura,1,4,axial,0.6,115012.703963954,115234.58783476292,0.0019292118449667729,0.000618486508010437,0.0002603385022127
miura_00011,miura,1,5,axial,0.9,434942.600228238,435530.7904554248,0.0013523398877878963,0.0004315473128924645,6.88814675275419e-05
miura_00012,miura,1,0,bending,0.3,66204.6931049585,66168.2180721337,0.0005509433110272699,0.00017179933711639387,0.0004533898731759
