sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,secant_change_ratio,max_linearity_error,force_final,expected_final_load,disp_final,disp_min,disp_max,nonmonotonic_segments,nonmonotonic_step_count,max_displacement_drop,total_displacement_drop,snap_like_response,strain_energy_total_final,strain_energy_total_max,strain_energy_crease_final,strain_energy_crease_max,strain_energy_panel_final,strain_energy_panel_max,max_bar_stress_final,max_bar_stress_max,max_bar_strain_final,max_bar_strain_max,max_crease_moment_final,max_crease_moment_max,max_crease_rotation_final,max_crease_rotation_max
miura_00005,miura,1,1,bending,0.6,69206.1216586128,60997.46175504205,0.11861176015704629,0.03850334667342424,0.11857111530455333,0.13457379483322876,1038.09182487919,1038.09182487919,0.0170186069224984,0.0001875086464846,0.0170186069224984,0,0,0.0,0.0,False,9.33548142324101,9.33548142324101,0.260507739826562,0.260507739826562,9.07497368341445,9.07497368341445,44023208.3492516,44023208.3492516,0.010016519037225,0.010016519037225,1.92907560753568,1.92907560753568,5.81357573040126,5.81357573040126
miura_00005,miura,1,2,bending,0.9,25371.6651515964,25434.649541773586,0.0024824697078749893,0.0007447946181922023,0.002481631330449874,0.002476322312746548,380.574977273946,380.574977273946,0.0149628551653088,0.0001874998431935,0.0149628551653088,0,0,0.0,0.0,False,2.84371058393188,2.84371058393188,0.001831531317681,0.001831531317681,2.8418790526142,2.8418790526142,36342523.2732824,36342523.2732824,0.0082689469913161,0.0082689469913161,0.847263132519684,0.847263132519684,5.06168784961523,5.06168784961523
miura_00005,miura,1,3,axial,0.3,8075.66071832058,8801.129359812045,0.089833967373797,0.02544218517012645,0.0910186160692199,0.08242903970984898,121.134910774809,121.134910774809,0.0137635644043523,0.0001877038123577,0.0137635644043523,0,0,0.0,0.0,False,0.808532662263007,0.808532662263007,0.508436107872163,0.508436107872163,0.300096554390843,0.300096554390843,8487052.87712744,8487052.87712744,0.0019310434178095,0.0019310434178095,0.382816543156741,0.382816543156741,6.05597313699685,6.06871154731292
miura_00005,miura,1,4,axial,0.6,18943.9415701235,23711.497220283352,0.251666509449056,0.065256783220012,0.2510539745495255,0.20106514598671466,284.159123551853,284.159123551853,0.0119840228101993,0.0001874082420974,0.0119840228101993,0,0,0.0,0.0,False,1.57358212203418,1.57358212203418,0.623869270256472,0.623869270256472,0.94971285177771,0.94971285177771,12598440.3869465,12598440.3869465,0.0028664998010609,0.0028664998010609,0.751743859261989,0.751743859261989,5.79162269449104,5.79162269449104
miura_00005,miura,1,5,axial,0.9,274652.436708387,510912.5876975897,0.860215018736763,0.16758076258481674,0.8364257534953567,0.4624277355425927,4119.7865506258,4119.7865506258,0.0080635839668611,0.0001851021657777,0.0080635839668611,0,0,0.0,0.0,False,13.6117904769331,13.6117904769331,0.919718987644392,0.919718987644392,12.6920714892887,12.6920714892887,40050190.8612968,40050190.8612968,0.0091125457287007,0.0091125457287007,2.15956984355232,2.15956984355232,5.06545445890376,5.06545445890376
miura_00006,miura,1,0,bending,0.3,68335.8668182171,37772.588956094405,0.44725089890825936,0.1800540365631974,0.4472938016131286,0.8091390796021004,1025.03800227326,1025.03800227326,0.0271370861940316,0.00018748544682,0.0271370861940316,0,0,0.0,0.0,False,17.0098342134266,17.0098342134266,3.62649257504458,3.62649257504458,13.383341638382,13.383341638382,13536180.6052929,13536180.6052929,0.0047983668465765,0.0047983668465765,1.47301492366667,1.47301492366667,6.11197480120656,6.11197480120656
miura_00006,miura,1,1,bending,0.6,20410.1632919412,20169.968901964312,0.01176837179307269,0.00376332051160399,0.011783525569817432,0.011908515632539942,306.152449379118,306.152449379118,0.0151786277344881,0.0001874971248308,0.0151786277344881,0,0,0.0,0.0,False,2.3388929318643,2.3388929318643,0.0319769826623468,0.0319769826623468,2.30691594920195,2.30691594920195,11508498.8648367,11508498.8648367,0.0040795850038601,0.0040795850038601,0.57417129101456,0.57417129101456,5.78930669422222,5.78930669422222
miura_00006,miura,1,2,bending,0.9,9973.16666617711,10074.199632534883,0.010130480091184512,0.002993198690348459,0.010165747653158697,0.010028882694708977,149.597499992657,149.597499992657,0.0148495667595794,0.0001875065463502,0.0148495667595794,0,0,0.0,0.0,False,1.10588853762363,1.10588853762363,0.0012784731260892,0.0012784731260892,1.10461006449754,1.10461006449754,13480686.9066723,13480686.9066723,0.0047786951879736,0.0047786951879736,0.297353749751526,0.297353749751526,5.05748589708435,5.05749395921186
miura_00006,miura,1,3,axial,0.3,13106.8232391777,14025.512673553998,0.0700924562429618,0.01985441634165635,0.07029260946920779,0.06550130863369769,196.602348587665,196.602348587665,0.0140174803704945,0.000187535070549,0.0140174803704945,0,0,0.0,0.0,False,1.34552379111437,1.34552379111437,1.17709866532847,1.17709866532847,0.168425125785893,0.168425125785893,10796758.0703413,10796758.0703413,0.0038272838909208,0.0038272838909208,0.23756005264749,0.23756005264749,6.05782593554831,6.06873276113841
miura_00006,miura,1,4,axial,0.6,23300.6760413162,27754.01165168781,0.1911247382897845,0.05088396411488942,0.19027023407773447,0.16045736617325326,349.510140619743,349.510140619743,0.0125931395074012,0.0001873654888656,0.0125931395074012,0,0,0.0,0.0,False,2.0682163424465,2.0682163424465,1.62050634341687,1.62050634341687,0.447709999029624,0.447709999029624,11596684.1277406,11596684.1277406,0.0041108453168105,0.0041108453168105,0.402596100658625,0.402596100658625,5.78643268394345,5.78643268394345
