sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,secant_change_ratio,max_linearity_error,force_final,expected_final_load,disp_final,disp_min,disp_max
miura_00015,miura,1,4,axial,0.6,21578.4103430472,24503.714799046083,0.13556626319980286,0.03684818063698693,0.13504678366850964,0.11938208063508658,323.676155145708,323.676155145708,0.0132092687904737,0.0001874142256905,0.0132092687904737
miura_00015,miura,1,5,axial,0.9,90826.5499987141,134333.66756660203,0.4790132133005592,0.11054263825949492,0.47090418406117474,0.32387351850061935,1362.39824998071,1362.39824998071,0.0101418972224907,0.000186471988236,0.0101418972224907
miura_00016,miura,1,0,bending,0.3,445112.63180619,317171.43931618694,0.28743554630395424,0.09975363924067296,0.28748781203103346,0.4033818201469867,6676.68947709285,6676.68947709285,0.0210507273022048,0.0001874862471054,0.0210507273022048
miura_00016,miura,1,1,bending,0.6,111724.897822492,110997.75862567092,0.006508300396715121,0.0021073019447080377,0.0065709517456162825,0.006550935855140005,1675.87346733738,1675.87346733738,0.0150982640378271,0.0001874881759174,0.0150982640378271
miura_00016,miura,1,2,bending,0.9,30455.5225218722,30795.16829341806,0.011152189928835965,0.003266906652357292,0.011123232554038243,0.011029190303806646,456.832837828083,456.832837828083,0.0148345621454429,0.0001874946303753,0.0148345621454429
miura_00016,miura,1,3,axial,0.3,123358.146288139,131735.46213238843,0.067910519866939,0.01884581604060869,0.06704712726974993,0.06359195700722262,1850.37219432209,1850.37219432209,0.0140461206448917,0.0001873484085427,0.0140461206448917
miura_00016,miura,1,4,axial,0.6,202141.170310471,231666.9949894748,0.14606536923504862,0.03932735228477959,0.14418776468731997,0.1274494223069852,3032.11755465706,3032.11755465706,0.0130882586653952,0.0001871928178251,0.0130882586653952
miura_00016,miura,1,5,axial,0.9,1056945.69401555,1416648.4672136502,0.34032285219074676,0.08315298197461182,0.3341268332057603,0.25391110181736576,10000.0,10000.0,0.0070589142129724,0.0001177185858103,0.0070589142129724
miura_00017,miura,1,0,bending,0.3,34188.0805749461,33711.411175126785,0.01394256102720872,0.004415363502994518,0.013925852889738466,0.014139704723219036,512.821208624192,512.821208624192,0.0152120955708483,0.0001875031770723,0.0152120955708483
miura_00017,miura,1,1,bending,0.6,11262.4431268977,11412.661808671122,0.013338019120794475,0.004015500451643122,0.01333905275800018,0.013162458004257084,168.936646903465,168.936646903466,0.0148025631299361,0.000187500191256,0.0148025631299361
miura_00017,miura,1,2,bending,0.9,7770.54620695799,7828.726401871722,0.007487272241124589,0.0022508703229018874,0.0074951268655192305,0.007431629607061311,116.55819310437,116.55819310437,0.0148885255558941,0.0001875014617972,0.0148885255558941
miura_00017,miura,1,3,axial,0.3,56557.5128053739,61293.61685163121,0.08373960967051752,0.022901786329819932,0.08269984758303828,0.07726912343452716,848.362692080609,848.362692080609,0.0138409631484821,0.0001873201086408,0.0138409631484821
miura_00017,miura,1,4,axial,0.6,88877.5852173917,101509.38424833491,0.1421258127124657,0.03809722441047008,0.14033108103532088,0.12443971682500306,1333.16377826088,1333.16377826088,0.013133404247625,0.0001872053632921,0.013133404247625
