sample_id,source_name,source_row,curve_id,load_case,deployment,response_axis,pattern,m,n,tcrease,tpanel,W,creaseE,panelE
miura_01896,miura,1896,2,bending,0.9,z,1,36,12,0.000663307552641393,0.00288721074542602,0.00242529231459977,3661202777.38884,3544222879.68198
miura_01896,miura,1896,3,axial,0.3,x,1,36,12,0.000663307552641393,0.00288721074542602,0.00242529231459977,3661202777.38884,3544222879.68198
miura_01896,miura,1896,4,axial,0.6,x,1,36,12,0.000663307552641393,0.00288721074542602,0.00242529231459977,3661202777.38884,3544222879.68198
miura_01896,miura,1896,5,axial,0.9,x,1,36,12,0.000663307552641393,0.00288721074542602,0.00242529231459977,3661202777.38884,3544222879.68198
miura_01897,miura,1897,0,bending,0.3,z,1,24,12,0.000626089038982299,0.0038610698848143,0.00136903539222938,4205762077.19753,4984040354.32901
miura_01897,miura,1897,1,bending,0.6,z,1,24,12,0.000626089038982299,0.0038610698848143,0.00136903539222938,4205762077.19753,4984040354.32901
miura_01897,miura,1897,2,bending,0.9,z,1,24,12,0.000626089038982299,0.0038610698848143,0.00136903539222938,4205762077.19753,4984040354.32901
miura_01897,miura,1897,3,axial,0.3,x,1,24,12,0.000626089038982299,0.0038610698848143,0.00136903539222938,4205762077.19753,4984040354.32901
miura_01897,miura,1897,4,axial,0.6,x,1,24,12,0.000626089038982299,0.0038610698848143,0.00136903539222938,4205762077.19753,4984040354.32901
miura_01897,miura,1897,5,axial,0.9,x,1,24,12,0.000626089038982299,0.0038610698848143,0.00136903539222938,4205762077.19753,4984040354.32901
miura_01898,miura,1898,0,bending,0.3,z,1,30,9,0.00081839063505873,0.00576999994558442,0.00211984097137054,2091525783.62391,1267623849.80411
miura_01898,miura,1898,1,bending,0.6,z,1,30,9,0.00081839063505873,0.00576999994558442,0.00211984097137054,2091525783.62391,1267623849.80411
miura_01898,miura,1898,2,bending,0.9,z,1,30,9,0.00081839063505873,0.00576999994558442,0.00211984097137054,2091525783.62391,1267623849.80411
miura_01898,miura,1898,3,axial,0.3,x,1,30,9,0.00081839063505873,0.00576999994558442,0.00211984097137054,2091525783.62391,1267623849.80411
miura_01898,miura,1898,4,axial,0.6,x,1,30,9,0.00081839063505873,0.00576999994558442,0.00211984097137054,2091525783.62391,1267623849.80411
miura_01898,miura,1898,5,axial,0.9,x,1,30,9,0.00081839063505873,0.00576999994558442,0.00211984097137054,2091525783.62391,1267623849.80411
miura_01899,miura,1899,0,bending,0.3,z,1,30,6,0.00094873844202659,0.00232518046992952,0.00352388625669281,1485202275.98019,1144531079.05315
miura_01899,miura,1899,1,bending,0.6,z,1,30,6,0.00094873844202659,0.00232518046992952,0.00352388625669281,1485202275.98019,1144531079.05315
miura_01899,miura,1899,2,bending,0.9,z,1,30,6,0.00094873844202659,0.00232518046992952,0.00352388625669281,1485202275.98019,1144531079.05315
miura_01899,miura,1899,3,axial,0.3,x,1,30,6,0.00094873844202659,0.00232518046992952,0.00352388625669281,1485202275.98019,1144531079.05315
miura_01899,miura,1899,4,axial,0.6,x,1,30,6,0.00094873844202659,0.00232518046992952,0.00352388625669281,1485202275.98019,1144531079.05315
miura_01899,miura,1899,5,axial,0.9,x,1,30,6,0.00094873844202659,0.00232518046992952,0.00352388625669281,1485202275.98019,1144531079.05315
miura_01900,miura,1900,0,bending,0.3,z,1,24,12,0.000636223084866026,0.00141931426008525,0.00360170284807608,3797048394.56827,2367785293.77644
miura_01900,miura,1900,1,bending,0.6,z,1,24,12,0.000636223084866026,0.00141931426008525,0.00360170284807608,3797048394.56827,2367785293.77644
miura_01900,miura,1900,2,bending,0.9,z,1,24,12,0.000636223084866026,0.00141931426008525,0.00360170284807608,3797048394.56827,2367785293.77644
miura_01900,miura,1900,3,axial,0.3,x,1,24,12,0.000636223084866026,0.00141931426008525,0.00360170284807608,3797048394.56827,2367785293.77644
miura_01900,miura,1900,4,axial,0.6,x,1,24,12,0.000636223084866026,0.00141931426008525,0.00360170284807608,3797048394.56827,2367785293.77644
miura_01900,miura,1900,5,axial,0.9,x,1,24,12,0.000636223084866026,0.00141931426008525,0.00360170284807608,3797048394.56827,2367785293.77644
miura_01901,miura,1901,0,bending,0.3,z,1,36,12,0.000743374559100479,0.00499069558449758,0.00321649712284924,2690899808.457,4025732979.95599
miura_01901,miura,1901,1,bending,0.6,z,1,36,12,0.000743374559100479,0.00499069558449758,0.00321649712284924,2690899808.457,4025732979.95599
miura_01901,miura,1901,2,bending,0.9,z,1,36,12,0.000743374559100479,0.00499069558449758,0.00321649712284924,2690899808.457,4025732979.95599
miura_01901,miura,1901,3,axial,0.3,x,1,36,12,0.000743374559100479,0.00499069558449758,0.00321649712284924,2690899808.457,4025732979.95599
miura_01901,miura,1901,4,axial,0.6,x,1,36,12,0.000743374559100479,0.00499069558449758,0.00321649712284924,2690899808.457,4025732979.95599
miura_01901,miura,1901,5,axial,0.9,x,1,36,12,0.000743374559100479,0.00499069558449758,0.00321649712284924,2690899808.457,4025732979.95599
miura_01902,miura,1902,0,bending,0.3,z,1,36,12,0.000823157077113604,0.0027700354417612,0.00390104850024386,4485028757.39146,1744899821.00126
miura_01902,miura,1902,1,bending,0.6,z,1,36,12,0.000823157077113604,0.0027700354417612,0.00390104850024386,4485028757.39146,1744899821.00126
miura_01902,miura,1902,2,bending,0.9,z,1,36,12,0.000823157077113604,0.0027700354417612,0.00390104850024386,4485028757.39146,1744899821.00126
miura_01902,miura,1902,3,axial,0.3,x,1,36,12,0.000823157077113604,0.0027700354417612,0.00390104850024386,4485028757.39146,1744899821.00126
miura_01902,miura,1902,4,axial,0.6,x,1,36,12,0.000823157077113604,0.0027700354417612,0.00390104850024386,4485028757.39146,1744899821.00126
miura_01902,miura,1902,5,axial,0.9,x,1,36,12,0.000823157077113604,0.0027700354417612,0.00390104850024386,4485028757.39146,1744899821.00126
miura_01903,miura,1903,0,bending,0.3,z,1,24,9,0.000881172017493307,0.00559738398155905,0.00203879954081364,4420291052.11253,2047497120.65725
miura_01903,miura,1903,1,bending,0.6,z,1,24,9,0.000881172017493307,0.00559738398155905,0.00203879954081364,4420291052.11253,2047497120.65725
miura_01903,miura,1903,2,bending,0.9,z,1,24,9,0.000881172017493307,0.00559738398155905,0.00203879954081364,4420291052.11253,2047497120.65725
miura_01903,miura,1903,3,axial,0.3,x,1,24,9,0.000881172017493307,0.00559738398155905,0.00203879954081364,4420291052.11253,2047497120.65725
miura_01903,miura,1903,4,axial,0.6,x,1,24,9,0.000881172017493307,0.00559738398155905,0.00203879954081364,4420291052.11253,2047497120.65725
miura_01903,miura,1903,5,axial,0.9,x,1,24,9,0.000881172017493307,0.00559738398155905,0.00203879954081364,4420291052.11253,2047497120.65725
miura_01904,miura,1904,0,bending,0.3,z,1,30,6,0.000889123867783369,0.0038585757974951,0.00208490166295836,2559842240.05554,2223974611.17179
miura_01904,miura,1904,1,bending,0.6,z,1,30,6,0.000889123867783369,0.0038585757974951,0.00208490166295836,2559842240.05554,2223974611.17179
miura_01904,miura,1904,2,bending,0.9,z,1,30,6,0.000889123867783369,0.0038585757974951,0.00208490166295836,2559842240.05554,2223974611.17179
miura_01904,miura,1904,3,axial,0.3,x,1,30,6,0.000889123867783369,0.0038585757974951,0.00208490166295836,2559842240.05554,2223974611.17179
miura_01904,miura,1904,4,axial,0.6,x,1,30,6,0.000889123867783369,0.0038585757974951,0.00208490166295836,2559842240.05554,2223974611.17179
miura_01904,miura,1904,5,axial,0.9,x,1,30,6,0.000889123867783369,0.0038585757974951,0.00208490166295836,2559842240.05554,2223974611.17179
miura_01905,miura,1905,0,bending,0.3,z,1,36,9,0.000794051837183021,0.00121302179375549,0.00188087398282931,3117507186.92762,3003976232.6337
miura_01905,miura,1905,1,bending,0.6,z,1,36,9,0.000794051837183021,0.00121302179375549,0.00188087398282931,3117507186.92762,3003976232.6337
miura_01905,miura,1905,2,bending,0.9,z,1,36,9,0.000794051837183021,0.00121302179375549,0.00188087398282931,3117507186.92762,3003976232.6337
miura_01905,miura,1905,3,axial,0.3,x,1,36,9,0.000794051837183021,0.00121302179375549,0.00188087398282931,3117507186.92762,3003976232.6337
miura_01905,miura,1905,4,axial,0.6,x,1,36,9,0.000794051837183021,0.00121302179375549,0.00188087398282931,3117507186.92762,3003976232.6337
miura_01905,miura,1905,5,axial,0.9,x,1,36,9,0.000794051837183021,0.00121302179375549,0.00188087398282931,3117507186.92762,3003976232.6337
miura_01906,miura,1906,0,bending,0.3,z,1,30,9,0.000791588891103391,0.0032697306600138,0.00129605346555225,2828454197.5453,2521766123.42821
miura_01906,miura,1906,1,bending,0.6,z,1,30,9,0.000791588891103391,0.0032697306600138,0.00129605346555225,2828454197.5453,2521766123.42821
miura_01906,miura,1906,2,bending,0.9,z,1,30,9,0.000791588891103391,0.0032697306600138,0.00129605346555225,2828454197.5453,2521766123.42821
miura_01906,miura,1906,3,axial,0.3,x,1,30,9,0.000791588891103391,0.0032697306600138,0.00129605346555225,2828454197.5453,2521766123.42821
miura_01906,miura,1906,4,axial,0.6,x,1,30,9,0.000791588891103391,0.0032697306600138,0.00129605346555225,2828454197.5453,2521766123.42821
miura_01906,miura,1906,5,axial,0.9,x,1,30,9,0.000791588891103391,0.0032697306600138,0.00129605346555225,2828454197.5453,2521766123.42821
miura_01907,miura,1907,0,bending,0.3,z,1,24,12,0.00074544563571899,0.00184657309729516,0.00377725379452585,1350390513.22466,2828998868.79691
miura_01907,miura,1907,1,bending,0.6,z,1,24,12,0.00074544563571899,0.00184657309729516,0.00377725379452585,1350390513.22466,2828998868.79691
miura_01907,miura,1907,2,bending,0.9,z,1,24,12,0.00074544563571899,0.00184657309729516,0.00377725379452585,1350390513.22466,2828998868.79691
miura_01907,miura,1907,3,axial,0.3,x,1,24,12,0.00074544563571899,0.00184657309729516,0.00377725379452585,1350390513.22466,2828998868.79691
miura_01907,miura,1907,4,axial,0.6,x,1,24,12,0.00074544563571899,0.00184657309729516,0.00377725379452585,1350390513.22466,2828998868.79691
miura_01907,miura,1907,5,axial,0.9,x,1,24,12,0.00074544563571899,0.00184657309729516,0.00377725379452585,1350390513.22466,2828998868.79691
miura_01908,miura,1908,0,bending,0.3,z,1,36,9,0.000763702267947619,0.00114298987705723,0.00256223623648363,2302198117.87106,1216931092.0803
miura_01908,miura,1908,1,bending,0.6,z,1,36,9,0.000763702267947619,0.00114298987705723,0.00256223623648363,2302198117.87106,1216931092.0803
miura_01908,miura,1908,2,bending,0.9,z,1,36,9,0.000763702267947619,0.00114298987705723,0.00256223623648363,2302198117.87106,1216931092.0803
miura_01908,miura,1908,3,axial,0.3,x,1,36,9,0.000763702267947619,0.00114298987705723,0.00256223623648363,2302198117.87106,1216931092.0803
miura_01908,miura,1908,4,axial,0.6,x,1,36,9,0.000763702267947619,0.00114298987705723,0.00256223623648363,2302198117.87106,1216931092.0803
miura_01908,miura,1908,5,axial,0.9,x,1,36,9,0.000763702267947619,0.00114298987705723,0.00256223623648363,2302198117.87106,1216931092.0803
miura_01909,miura,1909,0,bending,0.3,z,1,24,9,0.000682556378844636,0.00159754731464389,0.00290083067224561,2423908796.92565,4719268968.53937
miura_01909,miura,1909,1,bending,0.6,z,1,24,9,0.000682556378844636,0.00159754731464389,0.00290083067224561,2423908796.92565,4719268968.53937
miura_01909,miura,1909,2,bending,0.9,z,1,24,9,0.000682556378844636,0.00159754731464389,0.00290083067224561,2423908796.92565,4719268968.53937
miura_01909,miura,1909,3,axial,0.3,x,1,24,9,0.000682556378844636,0.00159754731464389,0.00290083067224561,2423908796.92565,4719268968.53937
miura_01909,miura,1909,4,axial,0.6,x,1,24,9,0.000682556378844636,0.00159754731464389,0.00290083067224561,2423908796.92565,4719268968.53937
miura_01909,miura,1909,5,axial,0.9,x,1,24,9,0.000682556378844636,0.00159754731464389,0.00290083067224561,2423908796.92565,4719268968.53937
miura_01910,miura,1910,0,bending,0.3,z,1,36,9,0.000981251287437264,0.0032037642288001,0.00335350238680553,4026338387.97004,4646287576.94279
miura_01910,miura,1910,1,bending,0.6,z,1,36,9,0.000981251287437264,0.0032037642288001,0.00335350238680553,4026338387.97004,4646287576.94279
miura_01910,miura,1910,2,bending,0.9,z,1,36,9,0.000981251287437264,0.0032037642288001,0.00335350238680553,4026338387.97004,4646287576.94279
miura_01910,miura,1910,3,axial,0.3,x,1,36,9,0.000981251287437264,0.0032037642288001,0.00335350238680553,4026338387.97004,4646287576.94279
miura_01910,miura,1910,4,axial,0.6,x,1,36,9,0.000981251287437264,0.0032037642288001,0.00335350238680553,4026338387.97004,4646287576.94279
miura_01910,miura,1910,5,axial,0.9,x,1,36,9,0.000981251287437264,0.0032037642288001,0.00335350238680553,4026338387.97004,4646287576.94279
miura_01911,miura,1911,0,bending,0.3,z,1,24,9,0.000952995827122818,0.0039375839339485,0.0029287270828587,2286322632.24235,1661148266.14552
miura_01911,miura,1911,1,bending,0.6,z,1,24,9,0.000952995827122818,0.0039375839339485,0.0029287270828587,2286322632.24235,1661148266.14552
miura_01911,miura,1911,2,bending,0.9,z,1,24,9,0.000952995827122818,0.0039375839339485,0.0029287270828587,2286322632.24235,1661148266.14552
miura_01911,miura,1911,3,axial,0.3,x,1,24,9,0.000952995827122818,0.0039375839339485,0.0029287270828587,2286322632.24235,1661148266.14552
miura_01911,miura,1911,4,axial,0.6,x,1,24,9,0.000952995827122818,0.0039375839339485,0.0029287270828587,2286322632.24235,1661148266.14552
miura_01911,miura,1911,5,axial,0.9,x,1,24,9,0.000952995827122818,0.0039375839339485,0.0029287270828587,2286322632.24235,1661148266.14552
miura_01912,miura,1912,0,bending,0.3,z,1,24,6,0.000808390245274846,0.004931879108874,0.00396355464139796,4552118200.27101,2852254729.01805
miura_01912,miura,1912,1,bending,0.6,z,1,24,6,0.000808390245274846,0.004931879108874,0.00396355464139796,4552118200.27101,2852254729.01805
miura_01912,miura,1912,2,bending,0.9,z,1,24,6,0.000808390245274846,0.004931879108874,0.00396355464139796,4552118200.27101,2852254729.01805
miura_01912,miura,1912,3,axial,0.3,x,1,24,6,0.000808390245274846,0.004931879108874,0.00396355464139796,4552118200.27101,2852254729.01805
miura_01912,miura,1912,4,axial,0.6,x,1,24,6,0.000808390245274846,0.004931879108874,0.00396355464139796,4552118200.27101,2852254729.01805
miura_01912,miura,1912,5,axial,0.9,x,1,24,6,0.000808390245274846,0.004931879108874,0.00396355464139796,4552118200.27101,2852254729.01805
miura_01913,miura,1913,0,bending,0.3,z,1,24,6,0.000840521915298057,0.00185080548574482,0.00143579882303606,3679338595.49285,3392799076.4486
miura_01913,miura,1913,1,bending,0.6,z,1,24,6,0.000840521915298057,0.00185080548574482,0.00143579882303606,3679338595.49285,3392799076.4486
miura_01913,miura,1913,2,bending,0.9,z,1,24,6,0.000840521915298057,0.00185080548574482,0.00143579882303606,3679338595.49285,3392799076.4486
miura_01913,miura,1913,3,axial,0.3,x,1,24,6,0.000840521915298057,0.00185080548574482,0.00143579882303606,3679338595.49285,3392799076.4486
miura_01913,miura,1913,4,axial,0.6,x,1,24,6,0.000840521915298057,0.00185080548574482,0.00143579882303606,3679338595.49285,3392799076.4486
miura_01913,miura,1913,5,axial,0.9,x,1,24,6,0.000840521915298057,0.00185080548574482,0.00143579882303606,3679338595.49285,3392799076.4486
miura_01914,miura,1914,0,bending,0.3,z,1,24,9,0.000652745053865944,0.00304369913894045,0.00324858369899885,4531741073.4455,3936177181.15217
miura_01914,miura,1914,1,bending,0.6,z,1,24,9,0.000652745053865944,0.00304369913894045,0.00324858369899885,4531741073.4455,3936177181.15217
miura_01914,miura,1914,2,bending,0.9,z,1,24,9,0.000652745053865944,0.00304369913894045,0.00324858369899885,4531741073.4455,3936177181.15217
miura_01914,miura,1914,3,axial,0.3,x,1,24,9,0.000652745053865944,0.00304369913894045,0.00324858369899885,4531741073.4455,3936177181.15217
miura_01914,miura,1914,4,axial,0.6,x,1,24,9,0.000652745053865944,0.00304369913894045,0.00324858369899885,4531741073.4455,3936177181.15217
miura_01914,miura,1914,5,axial,0.9,x,1,24,9,0.000652745053865944,0.00304369913894045,0.00324858369899885,4531741073.4455,3936177181.15217
miura_01915,miura,1915,0,bending,0.3,z,1,36,6,0.000911882030059563,0.00224870141398444,0.00268969802650784,4903031329.21892,1297560719.73135
miura_01915,miura,1915,1,bending,0.6,z,1,36,6,0.000911882030059563,0.00224870141398444,0.00268969802650784,4903031329.21892,1297560719.73135
miura_01915,miura,1915,2,bending,0.9,z,1,36,6,0.000911882030059563,0.00224870141398444,0.00268969802650784,4903031329.21892,1297560719.73135
miura_01915,miura,1915,3,axial,0.3,x,1,36,6,0.000911882030059563,0.00224870141398444,0.00268969802650784,4903031329.21892,1297560719.73135
miura_01915,miura,1915,4,axial,0.6,x,1,36,6,0.000911882030059563,0.00224870141398444,0.00268969802650784,4903031329.21892,1297560719.73135
miura_01915,miura,1915,5,axial,0.9,x,1,36,6,0.000911882030059563,0.00224870141398444,0.00268969802650784,4903031329.21892,1297560719.73135
miura_01916,miura,1916,0,bending,0.3,z,1,36,6,0.000505918573335991,0.00550364863479311,0.00226042580162126,1928290605.52944,1892240860.39246
miura_01916,miura,1916,1,bending,0.6,z,1,36,6,0.000505918573335991,0.00550364863479311,0.00226042580162126,1928290605.52944,1892240860.39246
miura_01916,miura,1916,2,bending,0.9,z,1,36,6,0.000505918573335991,0.00550364863479311,0.00226042580162126,1928290605.52944,1892240860.39246
miura_01916,miura,1916,3,axial,0.3,x,1,36,6,0.000505918573335991,0.00550364863479311,0.00226042580162126,1928290605.52944,1892240860.39246
miura_01916,miura,1916,4,axial,0.6,x,1,36,6,0.000505918573335991,0.00550364863479311,0.00226042580162126,1928290605.52944,1892240860.39246
miura_01916,miura,1916,5,axial,0.9,x,1,36,6,0.000505918573335991,0.00550364863479311,0.00226042580162126,1928290605.52944,1892240860.39246
miura_01917,miura,1917,0,bending,0.3,z,1,36,9,0.000913805624106618,0.0038874803412983,0.00155925125988005,3451554481.63825,1741137453.61255
miura_01917,miura,1917,1,bending,0.6,z,1,36,9,0.000913805624106618,0.0038874803412983,0.00155925125988005,3451554481.63825,1741137453.61255
miura_01917,miura,1917,2,bending,0.9,z,1,36,9,0.000913805624106618,0.0038874803412983,0.00155925125988005,3451554481.63825,1741137453.61255
miura_01917,miura,1917,3,axial,0.3,x,1,36,9,0.000913805624106618,0.0038874803412983,0.00155925125988005,3451554481.63825,1741137453.61255
miura_01917,miura,1917,4,axial,0.6,x,1,36,9,0.000913805624106618,0.0038874803412983,0.00155925125988005,3451554481.63825,1741137453.61255
miura_01917,miura,1917,5,axial,0.9,x,1,36,9,0.000913805624106618,0.0038874803412983,0.00155925125988005,3451554481.63825,1741137453.61255
miura_01918,miura,1918,0,bending,0.3,z,1,30,12,0.000743120993361488,0.00136805993959523,0.00397135438304959,3447106091.7187,3124950421.4962
miura_01918,miura,1918,1,bending,0.6,z,1,30,12,0.000743120993361488,0.00136805993959523,0.00397135438304959,3447106091.7187,3124950421.4962
miura_01918,miura,1918,2,bending,0.9,z,1,30,12,0.000743120993361488,0.00136805993959523,0.00397135438304959,3447106091.7187,3124950421.4962
miura_01918,miura,1918,3,axial,0.3,x,1,30,12,0.000743120993361488,0.00136805993959523,0.00397135438304959,3447106091.7187,3124950421.4962
miura_01918,miura,1918,4,axial,0.6,x,1,30,12,0.000743120993361488,0.00136805993959523,0.00397135438304959,3447106091.7187,3124950421.4962
miura_01918,miura,1918,5,axial,0.9,x,1,30,12,0.000743120993361488,0.00136805993959523,0.00397135438304959,3447106091.7187,3124950421.4962
miura_01919,miura,1919,0,bending,0.3,z,1,36,9,0.000677437984202278,0.00584400625602655,0.00315126503333473,4753729623.34276,3814136286.14053
miura_01919,miura,1919,1,bending,0.6,z,1,36,9,0.000677437984202278,0.00584400625602655,0.00315126503333473,4753729623.34276,3814136286.14053
miura_01919,miura,1919,2,bending,0.9,z,1,36,9,0.000677437984202278,0.00584400625602655,0.00315126503333473,4753729623.34276,3814136286.14053
miura_01919,miura,1919,3,axial,0.3,x,1,36,9,0.000677437984202278,0.00584400625602655,0.00315126503333473,4753729623.34276,3814136286.14053
miura_01919,miura,1919,4,axial,0.6,x,1,36,9,0.000677437984202278,0.00584400625602655,0.00315126503333473,4753729623.34276,3814136286.14053
miura_01919,miura,1919,5,axial,0.9,x,1,36,9,0.000677437984202278,0.00584400625602655,0.00315126503333473,4753729623.34276,3814136286.14053
miura_01920,miura,1920,0,bending,0.3,z,1,36,9,0.000968371461237804,0.00379301545961689,0.00141594870957257,2071379898.43441,4163388878.50642
miura_01920,miura,1920,1,bending,0.6,z,1,36,9,0.000968371461237804,0.00379301545961689,0.00141594870957257,2071379898.43441,4163388878.50642
miura_01920,miura,1920,2,bending,0.9,z,1,36,9,0.000968371461237804,0.00379301545961689,0.00141594870957257,2071379898.43441,4163388878.50642
miura_01920,miura,1920,3,axial,0.3,x,1,36,9,0.000968371461237804,0.00379301545961689,0.00141594870957257,2071379898.43441,4163388878.50642
miura_01920,miura,1920,4,axial,0.6,x,1,36,9,0.000968371461237804,0.00379301545961689,0.00141594870957257,2071379898.43441,4163388878.50642
miura_01920,miura,1920,5,axial,0.9,x,1,36,9,0.000968371461237804,0.00379301545961689,0.00141594870957257,2071379898.43441,4163388878.50642
miura_01921,miura,1921,0,bending,0.3,z,1,36,12,0.00095809981105258,0.00422580828114158,0.00213674278019208,3890773471.45218,1579262990.76958
miura_01921,miura,1921,1,bending,0.6,z,1,36,12,0.00095809981105258,0.00422580828114158,0.00213674278019208,3890773471.45218,1579262990.76958
miura_01921,miura,1921,2,bending,0.9,z,1,36,12,0.00095809981105258,0.00422580828114158,0.00213674278019208,3890773471.45218,1579262990.76958
miura_01921,miura,1921,3,axial,0.3,x,1,36,12,0.00095809981105258,0.00422580828114158,0.00213674278019208,3890773471.45218,1579262990.76958
miura_01921,miura,1921,4,axial,0.6,x,1,36,12,0.00095809981105258,0.00422580828114158,0.00213674278019208,3890773471.45218,1579262990.76958
miura_01921,miura,1921,5,axial,0.9,x,1,36,12,0.00095809981105258,0.00422580828114158,0.00213674278019208,3890773471.45218,1579262990.76958
