sample_id,best_candidate,true_pattern,generated_pattern,true_m,generated_m,true_n,generated_n,true_tcrease,generated_tcrease,true_tpanel,generated_tpanel,true_W,generated_W,true_creaseE,generated_creaseE,true_panelE,generated_panelE,closed_loop_scaled_mse
miura_00428,1,1.0,1.0,36.0,24.0,9.0,12.0,0.0007756948471069336,0.0007018870091997087,0.004813388921320438,0.002050062408670783,0.0038770309183746576,0.0012333642225712538,3702710016.0,3304808704.0,1363328768.0,2168573952.0,0.0817052349448204
miura_01029,1,1.0,1.0,30.0,30.0,6.0,6.0,0.0006969118840061128,0.0007923141238279641,0.005023708567023277,0.004506498109549284,0.00139996234793216,0.0035054355394095182,4828225024.0,3218966528.0,1186385664.0,2210450688.0,0.028399860486388206
miura_00712,0,1.0,1.0,36.0,24.0,6.0,9.0,0.0008975179516710341,0.0005498257232829928,0.0010899080662056804,0.0015285873087123036,0.003946032375097275,0.00273398426361382,3863456256.0,1746753408.0,1161230592.0,3021199360.0,0.03866701200604439
miura_00586,1,1.0,1.0,36.0,24.0,6.0,9.0,0.0005451483884826303,0.0007997906068339944,0.0032497793436050415,0.002761534648016095,0.0037632742896676064,0.0028520594350993633,1118391424.0,3983461120.0,1572009472.0,1002466624.0,0.19750665128231049
miura_00717,0,1.0,1.0,24.0,36.0,12.0,12.0,0.0009161510970443487,0.0009993299609050155,0.002393031259998679,0.0033447961322963238,0.0017731223488226533,0.0025087816175073385,4938145280.0,2282032384.0,1796051200.0,3008685056.0,0.03481852263212204
miura_00516,1,1.0,1.0,24.0,24.0,9.0,12.0,0.0007999823428690434,0.0009325752034783363,0.0016705431044101715,0.0018927115015685558,0.003374222433194518,0.003508778754621744,4230189056.0,2574026752.0,4353337344.0,3160938496.0,0.003425799310207367
miura_01295,0,1.0,1.0,24.0,36.0,12.0,9.0,0.0007822843617759645,0.0008211171953007579,0.002660323167219758,0.001000364194624126,0.00393581623211503,0.0030487547628581524,4174444544.0,3612135936.0,1399363328.0,3551869440.0,0.00568582396954298
miura_00794,1,1.0,1.0,30.0,24.0,12.0,9.0,0.0007375961868092418,0.0008639326551929116,0.0018244958482682705,0.001000364194624126,0.002967222360894084,0.0018039933638647199,3875535360.0,4477913600.0,3443034112.0,2399174912.0,0.029384534806013107
miura_01347,0,1.0,1.0,24.0,30.0,6.0,9.0,0.000788644072599709,0.0008816064801067114,0.0035746104549616575,0.0030798122752457857,0.001024614437483251,0.002945205196738243,2033279104.0,4003986688.0,2373257472.0,4996423680.0,0.13309693336486816
miura_01236,0,1.0,1.0,36.0,24.0,6.0,12.0,0.000635579985100776,0.000755018787458539,0.004426414147019386,0.00242213299497962,0.0036983864847570658,0.0026771065313369036,3319541760.0,1006209344.0,1141144320.0,2513617408.0,0.028188804164528847
