sample_id,source_name,source_row,pattern,m,n,tcrease,tpanel,W,creaseE,panelE,bendstiff30,bendstiff60,bendstiff90,axialstiff30,axialstiff60,axialstiff90
miura_01901,miura,1901,1,36,12,0.0007433745591004,0.0049906955844975,0.0032164971228492,2690899808.457,4025732979.95599,274586.443057651,73951.7627789121,24368.5792023456,30179.7041750912,55472.9840368323,496909.336322053
miura_01644,miura,1644,1,36,9,0.0005697410841605,0.0049088745662648,0.0026785612480959,2147073934.98103,1072549834.54974,105867.056528132,31436.6507431715,9406.16997600777,11979.4199066912,21482.8743583193,150034.214352688
miura_01849,miura,1849,1,24,12,0.0005891244063715,0.0059916886228673,0.0035203120370672,3902272699.06165,4034157748.02321,349777.980308335,96915.8966608238,36777.2638362545,17332.9466747835,37622.3831604103,610537.630693195
miura_00796,miura,796,1,36,9,0.000912550990472,0.0038987032185501,0.0018369115111896,1037164559.18871,3206799561.03007,239044.301163015,71131.4561124538,21824.2063856204,33739.1501527858,58542.3924214775,371926.136577407
miura_00646,miura,646,1,30,6,0.0007185235037887,0.0051154929276464,0.0020127731616869,2884025292.88145,4974662158.99657,680799.321321476,278912.48583742,83496.2680322883,37550.7544406925,80825.8179026292,683787.235125297
miura_01013,miura,1013,1,36,9,0.0005748404571024,0.003068992985525,0.0024977756804085,2531475365.7283,2754774348.74206,93226.350624677,28440.2765053523,11347.6653022344,15413.9670504857,26597.0867332208,182910.027663519
miura_01840,miura,1840,1,24,9,0.0009053502900609,0.0050683832755709,0.0028498838826981,3918947702.81656,3159148190.39056,300860.626364092,88300.3337181699,33627.4624843972,53451.1394089421,93179.4568704165,643736.50044498
miura_00557,miura,557,1,36,9,0.0009651669460885,0.0031976186026073,0.0039262160794558,2979516319.22312,2517157871.054,66397.6238804656,20576.2853293138,9397.34509165683,48589.0575709419,75696.0284641206,316706.686343603
miura_00682,miura,682,1,30,9,0.000535101010914,0.002008160388627,0.0037995945518646,2369083838.58071,4731314944.56118,31219.6977781023,10514.4883067223,8075.34397892948,6787.50150350712,11907.3035999691,109074.463001786
miura_00578,miura,578,1,36,9,0.0007666966261003,0.0050739893075131,0.0023612163441249,4766708145.29544,1416522374.63854,162019.834350178,47951.0224673319,13609.6629259758,64315.838973525,99640.4472691638,379857.87016247
miura_01110,miura,1110,1,24,9,0.0009209630430553,0.0042405142177318,0.0032383135583694,3593942583.59161,2525506756.56215,135411.972241454,41216.3998442966,18998.451357041,43507.5173413855,73172.5655047255,442727.734828323
miura_01267,miura,1267,1,24,9,0.0008491214568084,0.0040487356778497,0.0021291849385637,2937677492.62132,1514672231.20655,101959.280922413,30271.0801630387,12242.2619072785,40788.8024988275,66943.2300597543,344484.140179756
miura_01723,miura,1723,1,30,12,0.0007761687519128,0.0035852741995018,0.0013531258970734,2698812872.84096,1330963159.36436,71609.2846396472,19326.2235966702,6629.55925454544,55897.8031982625,88202.2492199059,379696.289112629
