sample_id,best_candidate,true_pattern,generated_pattern,true_m,generated_m,true_n,generated_n,true_tcrease,generated_tcrease,true_tpanel,generated_tpanel,true_W,generated_W,true_creaseE,generated_creaseE,true_panelE,generated_panelE,closed_loop_scaled_mse
miura_01987,1,1.0,1.0,36.0,36.0,12.0,12.0,0.0007922071381472051,0.0008626994676887989,0.0036611713003367186,0.0033800534438341856,0.003740419168025255,0.0030943527817726135,2552441088.0,1487810816.0,4493293056.0,4741178880.0,0.0015973481349647045
miura_01200,5,1.0,1.0,36.0,36.0,9.0,9.0,0.0007459071348421276,0.0007647174643352628,0.0015273651806637645,0.0011271286057308316,0.002917456440627575,0.002273164689540863,4916021248.0,3578223616.0,1728587520.0,1961159040.0,0.0003957351145800203
miura_00368,3,1.0,1.0,24.0,24.0,12.0,12.0,0.000626803666818887,0.0007309316424652934,0.001742869382724166,0.001443510758690536,0.002655326621606946,0.0029241812881082296,2722441216.0,1870630016.0,3365949952.0,4156536832.0,0.00028745774761773646
miura_00787,6,1.0,1.0,24.0,30.0,6.0,6.0,0.0009431018843315542,0.0009413243387825787,0.0033510569483041763,0.003337907139211893,0.002315166173502803,0.0032309400849044323,4324191744.0,4830708736.0,3094001408.0,4213907456.0,0.0016591910971328616
miura_00070,1,1.0,1.0,30.0,30.0,6.0,6.0,0.0005693950224667788,0.0007654667133465409,0.0021104433108121157,0.0027390241157263517,0.0018230106215924025,0.0024823795538395643,2371014400.0,1299561088.0,4364889088.0,3271724544.0,0.0010616473155096173
miura_01485,5,1.0,1.0,24.0,24.0,12.0,12.0,0.0005694306455552578,0.0005592079251073301,0.0035017698537558317,0.003644305281341076,0.003215489676222205,0.0033318318892270327,1409195648.0,1625332992.0,4169203712.0,4144961536.0,0.001354265958070755
miura_01634,7,1.0,1.0,30.0,30.0,9.0,9.0,0.0009810604387894273,0.0008025036659091711,0.0033680403139442205,0.0030166239012032747,0.002657842356711626,0.0020589770283550024,3581983744.0,4720037376.0,3323821312.0,3840984576.0,0.0008641747408546507
miura_01757,2,1.0,1.0,30.0,36.0,12.0,12.0,0.0009625422535464168,0.0009080233285203576,0.0039587258361279964,0.0026125414296984673,0.003261542646214366,0.0022465477231889963,1779082752.0,1122942592.0,1463609984.0,3064237056.0,0.00043034827103838325
miura_01179,1,1.0,1.0,36.0,36.0,9.0,9.0,0.0005164816975593567,0.0005821316153742373,0.004266302566975355,0.0048243459314107895,0.002326784422621131,0.003033503657206893,2972715776.0,2473298688.0,3783069184.0,3665491200.0,0.013117586262524128
miura_01493,0,1.0,1.0,24.0,30.0,9.0,9.0,0.0006381389684975147,0.0009185993694700301,0.0033035362139344215,0.003632333129644394,0.001034518820233643,0.0019929534755647182,3800802816.0,1774461056.0,2635216128.0,3560126208.0,0.0030189219396561384
miura_00428,3,1.0,1.0,36.0,36.0,9.0,9.0,0.0007756948471069336,0.0008406117558479309,0.004813388921320438,0.003756842575967312,0.0038770309183746576,0.0018813221249729395,3702710016.0,1318209280.0,1363328768.0,1803356672.0,0.0020138632971793413
miura_01029,1,1.0,1.0,30.0,36.0,6.0,6.0,0.0006969118840061128,0.0007678192341700196,0.005023708567023277,0.0050485264509916306,0.00139996234793216,0.0019481834024190903,4828225024.0,4050667776.0,1186385664.0,1480921472.0,0.0003417159605305642
miura_00712,4,1.0,1.0,36.0,36.0,6.0,6.0,0.0008975179516710341,0.0009910984663292766,0.0010899080662056804,0.0010463710641488433,0.003946032375097275,0.0029743181075900793,3863456256.0,1841213568.0,1161230592.0,1180528512.0,0.0012490698136389256
miura_00586,2,1.0,1.0,36.0,30.0,6.0,6.0,0.0005451483884826303,0.0005560594727285206,0.0032497793436050415,0.003523624502122402,0.0037632742896676064,0.0021425955928862095,1118391424.0,1006209344.0,1572009472.0,1207439488.0,0.012485767714679241
miura_00717,7,1.0,1.0,24.0,30.0,12.0,12.0,0.0009161510970443487,0.0009112787083722651,0.002393031259998679,0.001963515067473054,0.0017731223488226533,0.0018408963223919272,4938145280.0,4048506880.0,1796051200.0,3185751040.0,0.004811591934412718
miura_00516,1,1.0,1.0,24.0,30.0,9.0,12.0,0.0007999823428690434,0.0008394667529501021,0.0016705431044101715,0.0019638577941805124,0.003374222433194518,0.0037144534289836884,4230189056.0,2913965568.0,4353337344.0,4040775680.0,0.0014387998962774873
miura_01295,0,1.0,1.0,24.0,36.0,12.0,12.0,0.0007822843617759645,0.0008175639668479562,0.002660323167219758,0.0014735577860847116,0.00393581623211503,0.003161064349114895,4174444544.0,1989668480.0,1399363328.0,4610292224.0,0.0003148862742818892
miura_00794,2,1.0,1.0,30.0,30.0,12.0,12.0,0.0007375961868092418,0.0008457030635327101,0.0018244958482682705,0.0017556750681251287,0.002967222360894084,0.003415415296331048,3875535360.0,2875589376.0,3443034112.0,3818170368.0,0.000575935875531286
miura_01347,5,1.0,1.0,24.0,30.0,6.0,6.0,0.000788644072599709,0.0006473421235568821,0.0035746104549616575,0.003636125475168228,0.001024614437483251,0.0015625669620931149,2033279104.0,4190392832.0,2373257472.0,3377949440.0,0.0024223073851317167
miura_01236,5,1.0,1.0,36.0,36.0,6.0,6.0,0.000635579985100776,0.0006295547937043011,0.004426414147019386,0.003470017807558179,0.0036983864847570658,0.0019310286734253168,3319541760.0,1715329280.0,1141144320.0,1462318208.0,0.00037064129719510674
miura_01819,1,1.0,1.0,24.0,24.0,12.0,12.0,0.0009836209937930107,0.0009500279556959867,0.0028168940916657448,0.0028533812146633863,0.00290113827213645,0.002946937456727028,3319537408.0,4004851712.0,3251006464.0,2656499968.0,0.0006958400481380522
miura_00369,1,1.0,1.0,30.0,24.0,12.0,12.0,0.0005121021531522274,0.0005663505871780217,0.002227623015642166,0.002912320662289858,0.0036723327357321978,0.0033255296293646097,1194453888.0,1117556992.0,4644651008.0,2580174080.0,0.0007520394283346832
miura_01711,2,1.0,1.0,36.0,30.0,12.0,12.0,0.0007099538343027234,0.0006768176099285483,0.002129626926034689,0.001635009073652327,0.0036622968036681414,0.0016432453412562609,2831608576.0,1720742400.0,4214398464.0,4259481344.0,0.0002586258633527905
miura_01932,5,1.0,1.0,30.0,30.0,9.0,9.0,0.0009462939342483878,0.0008825083496049047,0.002065605716779828,0.0016786032356321812,0.002868511015549302,0.0017953888745978475,4725630976.0,3570732288.0,3827998464.0,4762564608.0,0.0012982003390789032
miura_01488,3,1.0,1.0,24.0,24.0,6.0,6.0,0.0009994935244321823,0.0009322453406639397,0.0011502493871375918,0.0012204422382637858,0.0025959203485399485,0.002477009315043688,3784838144.0,4276980992.0,3439992832.0,2607688192.0,0.0008206111961044371
miura_01494,7,1.0,1.0,24.0,24.0,12.0,12.0,0.0005305533413775265,0.0005896890652365983,0.002355929696932435,0.002607017057016492,0.0036690467968583107,0.0033486243337392807,1623298176.0,1356364544.0,4662288896.0,3844502016.0,0.0006611583521589637
miura_01194,4,1.0,1.0,36.0,36.0,6.0,6.0,0.0007706372998654842,0.0007932581938803196,0.0034828658681362867,0.004886096343398094,0.001676533604040742,0.0027196775190532207,1154692480.0,1727854848.0,2469010432.0,1753710720.0,0.0006776603986509144
miura_01077,3,1.0,1.0,24.0,24.0,12.0,12.0,0.0005532603245228529,0.000556547602172941,0.0028971689753234386,0.0029861927032470703,0.0035385084338486195,0.0031517790630459785,3834756096.0,3720422400.0,3853142528.0,3389244160.0,0.0006116227596066892
miura_00238,2,1.0,1.0,36.0,30.0,12.0,12.0,0.0009287345455959439,0.0009281110833398998,0.0016079467022791505,0.001177464029751718,0.003637358546257019,0.002062134211882949,3112016640.0,1971502720.0,2799039488.0,3161694464.0,0.0009441003203392029
