sample_id,source_name,source_row,pattern,m,n,tcrease,tpanel,W,creaseE,panelE,bendstiff30,bendstiff60,bendstiff90,axialstiff30,axialstiff60,axialstiff90
miura_01769,miura,1769,1,30,6,0.0005656686534008,0.0018502869681205,0.0035822210785667,3439355972.9145,4909339941.26984,51850.0967924875,17902.1223137713,11779.436759833,11136.6615741595,18797.8167860104,121969.053567096
miura_01770,miura,1770,1,24,12,0.000595088048186,0.0053117602913434,0.0025817283933529,4205746285.06209,4923129450.86061,401683.991714191,110307.792693632,40716.2946313589,24230.8923735756,50277.4876887464,719036.223207262
miura_01772,miura,1772,1,36,12,0.0009108282889078,0.0031174315303008,0.0026911810981235,1552225387.11342,3289782146.42519,73549.8225117065,21489.3544192405,9472.14641941563,33635.9016227741,55360.1233438474,325419.248902537
miura_01773,miura,1773,1,24,12,0.0006659462681959,0.0040540807635344,0.0032758586061316,2237276140.39156,3261683174.18662,101551.029041067,30680.6525526338,15755.070780465,12612.9385425449,23664.4879088395,285746.825736846
miura_01774,miura,1774,1,24,9,0.0009781114525555,0.0031093203934598,0.003608507038036,2791183814.01975,2927439604.48758,60688.342886615,19613.0367205785,12267.1317523937,35618.4270556627,59101.6086902177,342556.712962247
miura_01776,miura,1776,1,24,12,0.0005723304589451,0.0044461612028957,0.0025461923523986,4061302827.01538,2206085999.86237,111817.369537086,32067.8382371847,13636.290970307,17411.0745899713,31725.5335940378,305166.186049175
miura_01777,miura,1777,1,30,9,0.0006547317508547,0.004908176325277,0.0039093025436876,1734068074.96407,4033926415.29872,298339.561565705,88949.8381342438,33692.7737255102,11809.9035377189,26720.8497854171,383157.894409869
miura_01778,miura,1778,1,24,9,0.0008817863322956,0.0034707690243284,0.0014153401551068,3620564627.04159,2939853003.22631,184079.39685871,54247.7606785986,21102.2958454764,83313.9139289051,135218.39378269,647679.449283356
miura_01779,miura,1779,1,24,9,0.0006271109299768,0.0057394490909398,0.0010372770564806,2099262167.69067,2846861666.61209,711897.900790262,191467.448477028,48380.0166974879,32061.2622559062,72376.5857319434,775797.223212619
miura_01780,miura,1780,1,36,12,0.0009559667513812,0.0012555858055754,0.0034747863953091,3670959189.69401,3633290218.10583,5018.6085691003,1817.19130711455,1943.34832091071,62358.3995648321,95435.7631329576,339266.979638383
miura_01782,miura,1782,1,30,12,0.0006063167097307,0.0018632341956167,0.0010697671804488,3630438864.96361,4121090629.48602,44879.3998877179,13671.0776138279,7236.27274497375,46582.5913165383,75346.4411096664,391312.024333498
miura_01783,miura,1783,1,30,9,0.0008226215410998,0.002886279867635,0.0014219343958696,2258692834.41796,3355843650.25383,141234.899431804,42224.8803740731,16265.8787275579,53757.0751792114,86827.6884375601,424741.3770651
miura_01784,miura,1784,1,30,9,0.0006978748126163,0.0022952699656486,0.0030625350449004,2506351857.40512,2949504084.24471,34787.2646199415,11254.5274498689,7045.93192638526,17514.0639092974,28875.2270724662,170030.856358472
miura_01785,miura,1785,1,24,12,0.0005048664460115,0.0057858092013718,0.0039185487802441,3269529801.59851,4496471957.38543,322472.967246328,91366.5029857644,37281.442600209,10560.0060660579,25900.1024974137,552507.140517913
miura_01786,miura,1786,1,24,12,0.000665084371535,0.0051125692986631,0.0012737520944743,2007148639.01098,3116708138.83128,409594.942427718,102973.194758297,30068.2678815894,29453.6083653594,58848.3984086769,652510.379220763
miura_01787,miura,1787,1,36,9,0.0008849342651981,0.0014277360906441,0.002358960070033,2265661695.89253,4486025661.64897,20216.7963483701,6688.38964318758,4723.609646598,46045.750553122,70790.4183122332,271203.970108307
miura_01788,miura,1788,1,30,9,0.0009727848924499,0.005791164641499,0.0039486817679592,3829928336.8797,2508736337.61598,278567.933198125,81682.755055551,27591.0140614794,56709.0686217031,95544.9989664318,556895.79005801
miura_01789,miura,1789,1,36,12,0.0009389828766143,0.004686426254824,0.0017629324050675,1799431328.1026,3095596699.99683,284460.873065699,72347.2313180292,20357.6785340208,65564.1346265865,109609.428345859,632256.160577735
miura_01790,miura,1790,1,24,9,0.0009986061710116,0.0046065540083929,0.0018325036615703,2880123771.69027,3708918797.17899,389562.950044349,112269.934364498,38948.7103412314,79465.6295347689,135881.547517392,834895.300729279
miura_01791,miura,1791,1,30,12,0.0006398753258649,0.0049942565273496,0.0013508586488087,4217847424.25163,4933716738.55125,615730.356632698,151965.749846173,41371.897643693,59476.8451438973,111727.013179332,975144.363818583
miura_01792,miura,1792,1,36,12,0.0007574001487963,0.0018219430175225,0.0030149379150216,2708602609.9451,4962901386.59717,21801.4388312422,7155.93584233832,5205.16000135959,29425.8523682126,47582.2022618877,263009.732073129
miura_01793,miura,1793,1,24,9,0.0007935137841209,0.0029167978361865,0.0031301615157207,4009492910.49371,1965246580.27544,38831.6493767873,12530.9804272582,7784.785409466,30668.827055109,50151.3116317979,262998.089552855
miura_01794,miura,1794,1,30,6,0.0005713415281465,0.0032161713843928,0.0018025215941531,4668706914.67438,3697012559.78946,231122.525997352,87098.2400618326,31556.828554087,30256.6370114042,52461.1774845433,307836.952716995
miura_01796,miura,1796,1,36,9,0.0005600410291123,0.0011044765755282,0.0026769949254843,4506350320.0505,2130433866.28277,4164.00400496156,1453.61407782686,1339.04886077905,19951.8130957345,30525.7302487359,109619.242572873
miura_01797,miura,1797,1,30,9,0.0007048199336484,0.0033555011931873,0.0015950597275388,4893802152.92238,4262325510.85856,239972.527614045,71035.5147822064,25587.8186378581,66645.7666374614,109649.868302219,582712.972492564
miura_01798,miura,1798,1,36,9,0.0009523344712436,0.0059386723195051,0.002206449197555,2596452886.03856,3251226123.36467,526362.692296916,154660.274839979,39731.3914725632,77619.6053293537,133178.548425629,751194.978285445
miura_01800,miura,1800,1,30,9,0.0006189055480534,0.0046123645039232,0.002215416778424,2244092526.92116,1599382217.85654,153824.108543382,44826.3730940322,14530.9720700748,16525.0348867605,30122.2266318385,231542.307996218
miura_01801,miura,1801,1,36,9,0.0007022615785342,0.0010308140732759,0.0030597003389823,2063560030.22248,4020373257.86502,5627.5618780544,2015.7687866536,2083.60147527416,16552.7233059519,25944.5261134046,115658.49840664
miura_01802,miura,1802,1,24,12,0.0007297471604185,0.0029094416970967,0.0030251545482646,1738620389.79544,1348653592.53404,17607.6368481518,5697.23083452812,3803.38790257331,11638.4155619026,19837.3098126962,139746.779041642
miura_01803,miura,1803,1,30,6,0.0009343593466989,0.0023320761129962,0.0030562434349635,4960254877.63715,4205890328.44017,92141.5796493114,32044.9936018158,16853.1089421065,72606.1179571988,111486.089804129,385856.713144209
